metric,value
source_file,nsfc_results_requests_no_images.csv
output_file,nsfc_results_requests_no_images_dedup_start_year_2016-2024.csv
source_rows,7006
dedup_rows,7006
unique_approval_no,7006
blank_approval_no_rows_kept,0
duplicate_approval_no_count,0
duplicate_extra_rows_removed,0
start_year_span_research_start_or_ratify,2016-2024
ratify_year_span,2015-2023
conclusion_year_span,2021-2024

start_year,rows
2016,2
2017,34
2018,891
2019,1691
2020,1652
2021,1819
2022,891
2023,22
2024,4
